,location_easting_osgr,location_northing_osgr,longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions_5,light_conditions_6,light_conditions_7,weather_conditions_Fog or mist,weather_conditions_Raining + high winds,weather_conditions_Raining no high winds,weather_conditions_Snowing + high winds,weather_conditions_Snowing no high winds,road_surface_conditions_3,road_surface_conditions_4,road_surface_conditions_9,day,month
2504,513239,169558,-0.373074,51.413744,2,1,5,3,308,6,30,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
2505,524986,181695,-0.199956,51.520356,2,1,6,3,4207,6,20,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,24,3
2506,542621,177557,0.052383,51.478999,3,6,2,6,0,6,20,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3
2507,531611,189777,-0.101502,51.591481,1,1,2,3,1080,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4
2508,536782,182644,-0.029674,51.526153,2,1,5,3,11,6,20,5,4,3,11,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3
2509,509690,179410,-0.421033,51.502992,1,1,6,5,0,6,30,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,2
2510,528548,182114,-0.148492,51.523322,2,1,7,3,501,3,20,3,4,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,18,3
2511,538273,180734,-0.008944,51.508627,2,1,7,3,1206,6,30,1,4,4,123,0,5,0,0,0,0,0,1,0,0,0,0,0,18,3
2512,534688,192134,-0.056207,51.611934,2,1,7,6,0,6,20,0,-1,0,-1,0,9,0,0,0,0,0,0,0,0,0,0,0,4,2
2513,530324,184720,-0.121944,51.546335,2,1,6,6,0,6,30,99,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,3
2514,518811,190010,-0.286106,51.596417,3,1,1,6,0,6,30,0,-1,0,-1,0,8,0,0,0,0,0,0,0,0,0,0,0,26,3
2515,537070,182760,-0.02548,51.527125,2,1,7,3,11,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2
2516,512390,185671,-0.380153,51.558735,2,1,7,5,0,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
2517,523801,174439,-0.219569,51.455406,2,1,5,3,219,6,30,99,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,3
2518,524845,182038,-0.201866,51.523469,2,1,2,3,4207,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
2519,537751,188084,-0.013587,51.574801,1,1,5,3,104,2,20,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2
2520,530536,182766,-0.119612,51.528726,2,1,7,3,5200,2,20,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4
2521,542475,172750,0.048347,51.435842,2,2,2,6,0,6,20,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2
2522,531132,189855,-0.108384,51.592293,2,1,2,6,0,2,20,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3
2523,536690,187999,-0.028921,51.574295,2,1,2,3,1006,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
2524,534436,174409,-0.066604,51.452713,2,1,4,6,0,1,30,2,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,2
2525,511989,183464,-0.386637,51.538979,2,3,6,3,312,3,30,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2526,531215,182318,-0.109996,51.524543,2,1,5,3,201,3,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2527,525865,171397,-0.190959,51.427612,2,1,5,4,235,6,30,6,2,3,218,2,4,0,0,0,0,0,0,0,0,0,0,0,19,1
2528,543542,172547,0.063605,51.433748,2,1,2,4,263,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2529,532642,180161,-0.09025,51.504826,1,1,5,3,3200,6,20,9,2,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,12,1
2530,517960,167331,-0.305959,51.392767,1,1,7,4,3370,6,20,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
2531,522747,184799,-0.231129,51.548742,2,1,3,6,0,6,20,3,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4
2532,544662,178910,0.082307,51.490639,5,4,1,3,206,2,30,9,2,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,19,2
2533,533828,189007,-0.069811,51.584039,2,1,7,3,503,2,20,99,2,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,18,3
2534,534999,182139,-0.055554,51.522043,2,1,6,3,107,6,20,3,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,3
2535,528654,185725,-0.145647,51.555749,2,1,2,4,518,3,20,99,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1
2536,536393,188697,-0.032933,51.580639,2,1,4,3,1006,6,30,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2537,519811,165758,-0.279898,51.378242,2,1,3,3,240,3,30,1,2,3,240,9,5,0,0,0,0,0,0,0,0,0,1,0,17,1
2538,528184,182037,-0.153764,51.522713,2,1,2,3,501,3,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2
2539,537789,190927,-0.011924,51.600339,1,1,7,3,406,3,50,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
2540,544039,170724,0.070009,51.417241,1,1,6,4,263,6,30,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,17,3
2541,526969,195428,-0.166429,51.643329,1,2,3,4,193,6,30,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,28,2
2542,534353,187411,-0.062848,51.569573,2,1,4,5,0,6,20,3,4,3,107,0,5,0,0,0,0,0,0,0,0,0,0,0,29,3
2543,526240,173884,-0.184682,51.44988,2,1,4,6,0,9,20,99,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2
2544,534168,172153,-0.071313,51.432503,5,1,2,5,0,6,20,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,27,3
2545,522610,173935,-0.236876,51.451135,2,1,4,5,0,2,20,6,4,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,18,1
2546,530864,184983,-0.114063,51.548573,2,1,4,5,0,6,20,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2547,523775,185595,-0.216031,51.555671,2,1,1,3,407,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2548,525377,178821,-0.195344,51.49444,2,1,7,3,3220,6,30,7,2,3,4,2,5,0,0,0,0,0,1,0,0,0,0,0,11,3
2549,533429,182847,-0.077902,51.528778,2,1,2,3,10,6,30,3,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,1
2550,534287,195790,-0.060594,51.644883,4,1,5,3,10,3,40,7,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,1
2551,535202,195981,-0.047304,51.646381,2,2,6,3,1010,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
2552,526884,177565,-0.174099,51.482817,1,1,7,3,3220,6,20,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
2553,536945,181133,-0.027913,51.512535,2,1,4,3,1205,6,20,0,-1,0,-1,0,4,0,0,0,0,0,0,0,0,0,0,0,12,4
2554,507010,181907,-0.458873,51.525949,2,1,7,5,0,1,30,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2
2555,543442,185745,0.067527,51.552366,1,1,6,3,406,3,50,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3
2556,546306,183648,0.107934,51.532789,3,1,4,3,13,3,50,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
2557,535979,181689,-0.041611,51.517765,1,1,2,4,140,6,20,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3
2558,526835,190102,-0.170291,51.595496,2,1,2,3,1000,6,30,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
2559,531664,184178,-0.102833,51.541153,2,1,6,3,1,6,20,3,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,3
2560,531044,197970,-0.106619,51.665238,2,1,1,5,0,1,30,2,4,3,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2561,530084,188255,-0.124096,51.578157,1,1,6,3,103,6,20,9,3,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,4
2562,526125,177670,-0.184986,51.48393,1,1,5,3,308,6,20,3,4,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,1
2563,512703,175848,-0.378777,51.470385,2,1,3,3,3006,9,30,6,2,3,3063,9,5,0,0,0,0,1,0,0,0,0,0,0,3,1
2564,539456,190468,0.011947,51.595804,2,1,1,3,104,1,30,1,2,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2565,533461,168852,-0.08272,51.403005,3,1,4,4,266,6,30,0,-1,0,-1,0,5,0,0,0,0,0,0,0,0,0,0,0,22,3
2566,534634,191683,-0.057159,51.607895,2,1,4,5,0,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
2567,525221,166121,-0.202078,51.380338,1,1,3,4,279,6,20,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,3
2568,551235,190402,0.181846,51.592175,2,2,3,5,0,7,20,0,-1,0,-1,9,1,0,0,0,0,0,0,0,0,0,0,0,28,2
2569,523457,183042,-0.221511,51.532797,2,1,3,6,0,3,20,99,9,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,14,2
2570,539658,161135,0.003284,51.332168,2,2,2,6,0,6,30,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3
2571,527825,175859,-0.161171,51.467274,2,1,1,6,0,7,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2
2572,529903,194210,-0.124503,51.631714,2,1,3,3,111,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2
2573,510904,188330,-0.400741,51.582928,1,1,4,5,0,6,30,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
2574,546359,184096,0.108884,51.536801,2,1,7,6,0,9,30,99,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
2575,528995,175991,-0.144289,51.468195,2,1,6,3,3036,6,20,6,2,4,224,0,5,0,0,0,0,0,1,0,0,0,0,0,10,3
2576,522746,188554,-0.229834,51.582489,3,1,1,5,0,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4
2577,530333,170446,-0.127077,51.418057,2,1,7,3,23,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
2578,539249,183910,0.006364,51.536926,2,1,5,3,112,6,30,3,2,4,165,0,5,0,0,0,0,0,0,0,0,0,0,0,13,4
2579,524474,165694,-0.212955,51.376665,2,1,6,6,0,6,30,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
2580,524651,182621,-0.204455,51.528751,2,1,5,6,0,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2581,529770,159599,-0.139125,51.320705,1,1,1,4,2032,6,30,0,-1,0,-1,0,4,0,0,0,0,0,0,0,0,0,0,0,22,1
2582,531028,185369,-0.111556,51.552004,1,1,5,3,1,6,20,3,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,2
2583,529231,180260,-0.139332,51.506505,2,1,5,3,4,9,20,3,4,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,4
2584,537233,176574,-0.025536,51.471498,1,1,6,5,0,6,20,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
2585,532076,187483,-0.095656,51.570757,1,1,1,3,503,3,30,6,2,3,105,0,5,0,0,0,0,0,1,0,0,0,0,0,1,1
2586,527785,170946,-0.163519,51.42313,2,1,5,6,0,9,20,99,3,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,13,4
2587,537361,192661,-0.017421,51.616025,2,1,4,3,112,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3
2588,504625,177125,-0.494656,51.483413,2,1,5,3,4,3,50,5,2,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,2
2589,520848,189516,-0.256882,51.591544,1,1,6,3,5,6,30,0,-1,0,-1,0,4,0,0,0,0,0,0,0,0,0,0,0,17,2
2590,526254,182625,-0.181357,51.528432,2,1,3,3,5,3,30,6,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,2
2591,539835,187779,0.016345,51.571548,2,1,4,3,11,3,30,5,2,3,114,0,5,0,0,0,0,0,0,0,0,0,0,0,15,2
2592,516918,191865,-0.312805,51.613484,1,1,4,5,0,2,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
2593,534505,181732,-0.062825,51.518504,2,1,3,3,11,3,20,6,2,4,108,0,4,0,0,0,0,0,0,0,0,0,0,0,7,2
2594,542264,182081,0.049068,51.519741,1,1,5,3,13,3,50,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2595,538292,176721,-0.010241,51.472561,2,1,2,3,2,6,30,3,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4
2596,533524,184711,-0.075827,51.545506,1,1,7,3,10,6,20,3,4,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,28,1
2597,522026,179215,-0.243455,51.498714,2,1,6,3,402,1,20,1,4,4,409,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2
2598,546373,187429,0.110472,51.566745,2,1,5,3,118,6,30,6,2,4,177,9,4,0,0,0,0,0,0,0,0,0,0,0,12,1
2599,505637,181196,-0.478869,51.519817,1,1,6,3,408,6,30,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,31,3
2600,541788,182086,0.042214,51.519905,3,6,5,3,13,3,50,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
2601,530310,177824,-0.124693,51.484366,2,1,2,3,203,1,30,5,2,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,16,1
2602,556063,183422,0.24839,51.528148,1,1,6,5,0,6,40,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,31,3
2603,522172,183304,-0.239936,51.535431,2,1,5,6,0,6,20,99,9,6,0,9,1,0,0,0,0,0,0,0,0,0,0,0,30,3
2604,534041,176649,-0.071437,51.472936,2,1,7,6,0,6,20,8,4,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,2
2605,511022,180928,-0.401373,51.516376,1,1,2,3,312,3,50,1,2,3,4020,0,5,0,0,0,0,0,0,0,0,0,0,0,30,1
2606,542673,189001,0.057763,51.581818,2,3,6,3,1400,1,30,1,4,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,24,2
2607,523903,185613,-0.21418,51.555805,2,1,3,3,5,3,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
2608,545978,179914,0.101664,51.499322,1,1,2,3,2016,3,50,1,4,3,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3
2609,545257,190735,0.095748,51.596739,2,2,5,5,0,1,40,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2610,522665,183238,-0.232855,51.534731,2,1,5,5,0,6,30,0,-1,0,-1,0,8,0,0,0,0,0,0,0,0,0,0,0,2,2
2611,519271,169570,-0.286374,51.412617,2,1,1,3,238,9,20,3,4,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,2,4
2612,547736,186573,0.129763,51.558699,2,1,5,5,0,9,30,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
2613,533155,192358,-0.078248,51.614312,1,1,3,3,406,3,50,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,7,2
2614,536564,182323,-0.032939,51.523321,1,1,6,6,0,6,30,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2615,537533,173606,-0.022373,51.444754,2,1,6,5,0,7,20,5,2,3,205,9,1,0,0,0,0,0,0,0,0,0,0,1,6,1
2616,520479,190250,-0.261955,51.59822,1,1,6,6,0,6,30,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
2617,527801,165307,-0.165318,51.372449,2,1,7,4,277,6,30,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1
2618,536384,162974,-0.042978,51.349489,2,1,5,3,2022,6,20,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,3
2619,528120,192418,-0.150905,51.616018,2,1,4,6,0,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3
2620,528525,187372,-0.146905,51.57058,2,1,4,4,519,6,20,0,-1,0,-1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3
2621,518035,189798,-0.297375,51.594674,2,1,3,6,0,6,20,9,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,3
2622,543572,178851,0.066594,51.490386,2,1,5,6,0,6,20,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
2623,542560,167596,0.047499,51.389507,1,1,2,5,0,3,30,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
2624,512430,191175,-0.377816,51.608196,2,1,1,6,0,7,20,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
2625,529187,174146,-0.1422,51.45157,2,1,3,3,205,6,30,3,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,1
2626,536597,184701,-0.031542,51.544682,1,1,4,3,106,7,30,5,2,3,12,0,5,0,0,0,0,0,0,0,1,0,0,0,8,3
2627,549705,175106,0.153281,51.455148,3,1,2,3,207,3,30,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
